Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,RealizedPNL
ADM,2022-12-21 05:00:00,2022-12-22 05:00:00,85.35762337078685,86.17246431525359,585.0,476.68195251304167
ADM,2022-12-27 05:00:00,2022-12-29 05:00:00,86.96901248408072,85.95274787952948,577.0,-586.3846768260648
AVY,2023-01-05 05:00:00,2023-02-08 05:00:00,175.34812636015792,173.5677097741771,284.0,-505.6383104185519
APTV,2023-01-20 05:00:00,2023-02-15 05:00:00,101.51000213623048,122.08999633789062,1.0,20.579994201660142
APH,2023-01-13 05:00:00,2023-03-02 05:00:00,39.19771003853056,37.787159941450575,80.0,-112.8440077663987
ALL,2023-02-09 05:00:00,2023-03-03 05:00:00,128.79628362337525,119.19572297058382,191.0,-1833.707084683163
BAC,2023-01-30 05:00:00,2023-03-03 05:00:00,32.71476353019521,31.46809695048795,1.0,-1.246666579707263
AIZ,2023-01-12 05:00:00,2023-03-06 05:00:00,121.17070738559204,121.71125774609924,103.0,55.6766871322413
AMZN,2023-01-19 05:00:00,2023-03-06 05:00:00,94.73999786376952,95.19000244140624,1.0,0.45000457763671875
ALLE,2023-01-12 05:00:00,2023-03-07 05:00:00,110.02290341211648,110.28275220342732,57.0,14.811381104718123
AXON,2023-01-17 05:00:00,2023-03-08 05:00:00,188.30999755859372,226.0,2.0,75.38000488281256
ABBV,2023-02-24 05:00:00,2023-03-13 04:00:00,136.8453239396635,134.76507790819522,90.0,-187.22214283214498
AMP,2023-01-17 05:00:00,2023-03-13 04:00:00,319.5186574461792,281.7740858718364,2.0,-75.48914314868557
AMD,2023-01-24 05:00:00,2023-03-16 04:00:00,73.75,89.72000122070312,1.0,15.970001220703125
AXP,2023-01-17 05:00:00,2023-03-20 04:00:00,150.36472763244245,153.10058337262575,10.0,27.358557401832968
AOS,2023-01-09 05:00:00,2023-04-13 04:00:00,58.277025795948525,62.73592360640775,429.0,1912.8671606870084
AMAT,2023-01-17 05:00:00,2023-04-17 04:00:00,106.70796966552734,106.7721305314748,3.0,0.1924825978423712
APH,2023-04-03 04:00:00,2023-04-18 04:00:00,39.72611122241084,38.801107371245145,57.0,-52.725219516444795
APA,2023-04-14 04:00:00,2023-04-24 04:00:00,36.557235625034416,33.574752359045256,26.0,-77.54456491571815
AMCR,2023-04-12 04:00:00,2023-04-27 04:00:00,9.79629030074077,9.573445269300802,8.0,-1.782760251519747
AVY,2023-04-17 04:00:00,2023-04-27 04:00:00,170.70124338939493,156.9246996473772,3.0,-41.32963122605321
AES,2023-04-17 04:00:00,2023-04-28 04:00:00,21.40954989185104,20.708891491715,17.0,-11.911192802312659
ADM,2023-04-13 04:00:00,2023-05-03 04:00:00,74.4926246408857,69.79769313190225,90.0,-422.54383580851
AMT,2023-04-13 04:00:00,2023-05-04 04:00:00,193.14798815528812,175.8205674264534,8.0,-138.61936583067768
ADBE,2023-03-28 04:00:00,2023-05-05 04:00:00,373.4200134277344,338.9800109863281,24.0,-826.56005859375
ABBV,2023-03-24 04:00:00,2023-05-09 04:00:00,140.4451046476668,134.5534794492469,256.0,-1508.2560507954913
ACN,2023-04-04 04:00:00,2023-05-16 04:00:00,272.7941972839045,266.78864305296133,2.0,-12.011108461886352
APD,2023-04-13 04:00:00,2023-05-18 04:00:00,269.68631719061545,258.65304639804305,50.0,-551.6635396286205
AEE,2023-04-10 04:00:00,2023-05-23 04:00:00,82.53515616660934,77.11225525823785,2.0,-10.845801816742977
AWK,2023-04-10 04:00:00,2023-05-24 04:00:00,141.77927470031918,135.55771299038162,1.0,-6.221561709937561
AMD,2023-05-12 04:00:00,2023-05-25 04:00:00,96.83000183105467,117.30999755859376,54.0,1105.919769287111
ABT,2023-04-20 04:00:00,2023-05-26 04:00:00,106.89991254024272,97.28130326278034,12.0,-115.4233113295486
AOS,2023-04-24 04:00:00,2023-05-30 04:00:00,65.60009745145227,63.67550674522062,11.0,-21.170497768548124
AMZN,2023-03-27 04:00:00,2023-05-30 04:00:00,99.06999969482422,122.37000274658205,182.0,4240.600555419925
AON,2023-04-04 04:00:00,2023-05-31 04:00:00,310.73465473894225,304.43683306206003,3.0,-18.893465030646666
AFL,2023-04-21 04:00:00,2023-06-02 04:00:00,62.88078752305416,62.31142234318821,10.0,-5.693651798659474
ACGL,2023-03-31 04:00:00,2023-06-06 04:00:00,64.56600900930587,68.18893214033922,70.0,253.60461917233422
AJG,2023-04-06 04:00:00,2023-06-07 04:00:00,191.0923186674473,201.29741624899583,2.0,20.410195163097058
