Date,Ticker,Type,Price,Shares,Cash_after
2022-12-21 05:00:00,ADM,BUY,85.35762337078685,23.0,98036.7746624719
2022-12-22 05:00:00,ADM,SELL,86.17246431525359,23.0,100018.74134172274
2022-12-27 05:00:00,ADM,BUY,86.96901248408072,23.0,98018.45405458887
2022-12-29 05:00:00,ADM,SELL,85.95274787952948,23.0,99995.36725581806
2023-01-05 05:00:00,AVY,BUY,175.34812636015792,11.0,98066.53786585631
2023-01-09 05:00:00,AOS,BUY,58.277025795948525,33.0,96143.39601459
2023-01-12 05:00:00,ALLE,BUY,110.02290341211648,17.0,94273.00665658402
2023-01-17 05:00:00,AMP,BUY,319.5186574461792,5.0,92675.41336935313
2023-01-17 05:00:00,AXON,BUY,188.30999755859372,9.0,90980.62339132579
2023-01-17 05:00:00,AMAT,BUY,106.70796966552734,17.0,89166.58790701182
2023-01-19 05:00:00,AMZN,BUY,94.73999786376952,18.0,87461.26794546397
2023-01-24 05:00:00,ADSK,BUY,209.30999755859372,8.0,85786.78796499522
2023-01-24 05:00:00,AMD,BUY,73.75,23.0,84090.53796499522
2023-01-30 05:00:00,BAC,BUY,32.71476353019521,51.0,82422.08502495526
2023-01-31 05:00:00,ALB,BUY,261.2556436586862,6.0,80854.55116300314
2023-02-01 05:00:00,APD,BUY,297.51669524463244,5.0,79366.96768677997
2023-02-03 05:00:00,APD,SELL,272.23181961685384,5.0,80728.12678486425
2023-02-03 05:00:00,AKAM,BUY,89.5199966430664,18.0,79116.76684528905
2023-02-03 05:00:00,ATO,BUY,110.99387082808366,14.0,77562.85265369588
2023-02-06 05:00:00,ACN,BUY,274.2903061744992,5.0,76191.40112282339
2023-02-08 05:00:00,AVY,SELL,173.5677097741771,11.0,78100.64593033933
2023-02-09 05:00:00,ALL,BUY,128.79628362337525,12.0,76555.09052685882
2023-02-15 05:00:00,AKAM,SELL,81.52999877929688,18.0,78022.63050488617
2023-02-22 05:00:00,ALB,SELL,233.1012162638819,6.0,79421.23780246946
2023-03-01 05:00:00,ACN,SELL,254.15975617258488,5.0,80692.03658333239
2023-03-03 05:00:00,ALL,SELL,119.19572297058382,12.0,82122.3852589794
2023-03-03 05:00:00,BAC,SELL,31.46809695048795,51.0,83727.25820345429
2023-03-06 05:00:00,AMZN,SELL,95.19000244140624,18.0,85440.6782473996
2023-03-06 05:00:00,ABBV,BUY,140.90635500997533,12.0,83749.80198727989
2023-03-07 05:00:00,ALLE,SELL,110.28275220342732,17.0,85624.60877473815
2023-03-07 05:00:00,ATO,SELL,106.78839530733596,14.0,87119.64630904085
2023-03-08 05:00:00,ADSK,SELL,205.83999633789065,8.0,88766.36627974398
2023-03-08 05:00:00,AXON,SELL,226.0,9.0,90800.36627974398
2023-03-13 04:00:00,AMP,SELL,281.7740858718364,5.0,92209.23670910316
2023-03-16 04:00:00,AMD,SELL,89.72000122070312,23.0,94272.79673717933
2023-03-27 04:00:00,AMZN,BUY,99.06999969482422,19.0,92390.46674297767
2023-03-28 04:00:00,ADBE,BUY,373.4200134277344,4.0,90896.78668926674
2023-03-31 04:00:00,ACGL,BUY,64.56600900930587,28.0,89088.93843700617
2023-04-04 04:00:00,AON,BUY,310.73465473894225,5.0,87535.26516331146
2023-04-04 04:00:00,ACN,BUY,272.7941972839045,6.0,85898.49997960804
2023-04-05 04:00:00,AMGN,BUY,229.46236021491657,7.0,84292.26345810363
2023-04-05 04:00:00,AEE,BUY,80.35491273517624,20.0,82685.1652034001
2023-04-10 04:00:00,AWK,BUY,141.77927470031918,11.0,81125.59318169659
2023-04-10 04:00:00,AEP,BUY,85.10007085386943,19.0,79508.69183547307
2023-04-10 04:00:00,BA,BUY,211.0,7.0,78031.69183547307
2023-04-12 04:00:00,AMCR,BUY,9.79629030074077,159.0,76474.0816776553
2023-04-13 04:00:00,AOS,SELL,62.73592360640775,33.0,78544.36715666675
2023-04-13 04:00:00,AKAM,BUY,81.4800033569336,19.0,76996.24709288501
2023-04-13 04:00:00,APD,BUY,269.68631719061545,5.0,75647.81550693193
2023-04-13 04:00:00,ADM,BUY,74.4926246408857,20.0,74157.96301411421
2023-04-13 04:00:00,ATO,BUY,108.4040008416419,13.0,72748.71100317287
2023-04-13 04:00:00,AMT,BUY,193.14798815528812,7.0,71396.67508608584
2023-04-14 04:00:00,ABT,BUY,98.67172623201796,14.0,70015.27091883759
2023-04-14 04:00:00,APA,BUY,36.557235625034416,38.0,68626.09596508628
2023-04-17 04:00:00,AMAT,SELL,106.7721305314748,17.0,70441.22218412135
2023-04-17 04:00:00,AVY,BUY,170.70124338939493,8.0,69075.6122370062
2023-04-17 04:00:00,AES,BUY,21.40954989185104,64.0,67705.40104392773
2023-04-21 04:00:00,AFL,BUY,62.88078752305416,21.0,66384.9045059436
2023-04-24 04:00:00,APA,SELL,33.574752359045256,38.0,67660.74509558732
2023-04-24 04:00:00,AOS,BUY,65.60009745145227,20.0,66348.74314655828
2023-04-26 04:00:00,BA,SELL,208.25,7.0,67806.49314655828
2023-04-27 04:00:00,AMCR,SELL,9.573445269300802,159.0,69328.67094437711
2023-04-27 04:00:00,AVY,SELL,156.9246996473772,8.0,70584.06854155613
2023-04-28 04:00:00,AES,SELL,20.708891491715,64.0,71909.43759702588
2023-05-03 04:00:00,ADM,SELL,69.79769313190225,20.0,73305.39145966392
2023-05-04 04:00:00,AMT,SELL,175.8205674264534,7.0,74536.13543164909
2023-05-04 04:00:00,ALLE,BUY,105.07039718401276,14.0,73065.1498710729
2023-05-05 04:00:00,ABBV,SELL,135.58496073487143,12.0,74692.16939989137
2023-05-05 04:00:00,ADBE,SELL,338.9800109863281,4.0,76048.08944383668
2023-05-05 04:00:00,AMGN,SELL,214.77537740059933,7.0,77551.51708564088
2023-05-09 04:00:00,AME,BUY,142.27517498083293,10.0,76128.76533583255
2023-05-10 04:00:00,AIG,BUY,50.60357430591087,30.0,74610.65810665522
2023-05-12 04:00:00,AMD,BUY,96.83000183105467,15.0,73158.2080791894
2023-05-16 04:00:00,ACN,SELL,266.78864305296133,6.0,74758.93993750717
2023-05-18 04:00:00,AEP,SELL,78.56832992655096,19.0,76251.73820611164
2023-05-18 04:00:00,APD,SELL,258.65304639804305,5.0,77545.00343810185
2023-05-18 04:00:00,ACN,BUY,273.96174712829645,5.0,76175.19470246037
2023-05-18 04:00:00,AVGO,BUY,63.29328579737907,24.0,74656.15584332327
2023-05-18 04:00:00,AMAT,BUY,122.99031525791874,12.0,73180.27206022825
2023-05-18 04:00:00,APO,BUY,60.47024202782118,24.0,71728.98625156053
2023-05-19 04:00:00,AEE,SELL,77.45406680163059,20.0,73278.06758759315
2023-05-23 04:00:00,ADSK,BUY,199.2700042724609,7.0,71883.17755768592
2023-05-23 04:00:00,ANET,BUY,35.99250030517578,39.0,70479.47004578407
2023-05-24 04:00:00,AWK,SELL,135.55771299038162,11.0,71970.60488867827
2023-05-25 04:00:00,AMD,SELL,117.30999755859376,15.0,73730.25485205717
2023-05-25 04:00:00,AMP,BUY,282.7911904662263,5.0,72316.29889972604
2023-05-30 04:00:00,AMZN,SELL,122.37000274658205,19.0,74641.3289519111
2023-05-30 04:00:00,AOS,SELL,63.67550674522062,20.0,75914.83908681551
2023-05-30 04:00:00,AVGO,SELL,80.57544589907462,24.0,77848.6497883933
2023-05-30 04:00:00,ADBE,BUY,429.9400024414063,3.0,76558.82978106909
2023-05-31 04:00:00,AON,SELL,304.43683306206003,5.0,78081.01394637939
2023-06-01 04:00:00,ABT,SELL,97.05273381280524,14.0,79439.75221975867
