Date,Ticker,Type,Price,Shares,Cash_after
2022-12-21 05:00:00,ADM,BUY,85.35762337078685,10.0,99146.42376629214
2022-12-22 05:00:00,ADM,SELL,86.17246431525359,5.0,99577.2860878684
2022-12-29 05:00:00,ADM,SELL,85.95274787952948,2.0,99749.19158362746
2023-01-05 05:00:00,AVY,BUY,175.34812636015792,10.0,97995.71032002587
2023-01-06 05:00:00,ADM,SELL,77.72185372675852,3.0,98228.87588120614
2023-01-09 05:00:00,AOS,BUY,58.277025795948525,10.0,97646.10562324665
2023-01-12 05:00:00,AIZ,BUY,121.17070738559204,10.0,96434.39854939072
2023-01-12 05:00:00,ALLE,BUY,110.02290341211648,10.0,95334.16951526956
2023-01-17 05:00:00,AXP,BUY,150.36472763244245,10.0,93830.52223894514
2023-01-17 05:00:00,AMP,BUY,319.5186574461792,10.0,90635.33566448334
2023-01-17 05:00:00,AXON,BUY,188.30999755859372,10.0,88752.2356888974
2023-01-17 05:00:00,AMAT,BUY,106.70796966552734,10.0,87685.15599224213
2023-01-18 05:00:00,AJG,BUY,190.37660832986668,10.0,85781.38990894346
2023-01-19 05:00:00,AVB,BUY,152.45523397479968,10.0,84256.83756919546
2023-01-19 05:00:00,AMZN,BUY,94.73999786376952,10.0,83309.43759055776
2023-01-20 05:00:00,APTV,BUY,101.51000213623048,10.0,82294.33756919546
2023-01-24 05:00:00,ADSK,BUY,209.30999755859372,10.0,80201.23759360952
2023-01-24 05:00:00,AMD,BUY,73.75,10.0,79463.73759360952
2023-01-30 05:00:00,BAC,BUY,32.71476353019521,10.0,79136.58995830757
2023-01-30 05:00:00,AAPL,BUY,142.80563325307273,10.0,77708.53362577684
2023-01-31 05:00:00,ALB,BUY,261.2556436586862,10.0,75095.97718918997
2023-02-01 05:00:00,APD,BUY,297.51669524463244,10.0,72120.81023674365
2023-02-03 05:00:00,APD,SELL,272.23181961685384,10.0,74843.12843291218
2023-02-03 05:00:00,AKAM,BUY,89.5199966430664,10.0,73947.92846648152
2023-02-06 05:00:00,ACN,BUY,274.2903061744992,10.0,71205.02540473653
2023-02-06 05:00:00,ANET,BUY,32.685001373291016,10.0,70878.17539100362
2023-02-08 05:00:00,AVY,SELL,173.5677097741771,5.0,71746.01393987451
2023-02-15 05:00:00,AKAM,SELL,81.52999877929688,10.0,72561.31392766748
2023-02-15 05:00:00,APTV,SELL,122.08999633789062,10.0,73782.21389104638
2023-02-22 05:00:00,AJG,SELL,182.5271568534548,5.0,74694.84967531366
2023-02-22 05:00:00,ALB,SELL,233.1012162638819,10.0,77025.86183795247
2023-02-24 05:00:00,ABBV,BUY,136.8453239396635,10.0,75657.40859855583
2023-03-01 05:00:00,ACN,SELL,254.15975617258488,5.0,76928.20737941876
2023-03-03 05:00:00,BAC,SELL,31.46809695048795,5.0,77085.5478641712
2023-03-06 05:00:00,AIZ,SELL,121.71125774609924,5.0,77694.1041529017
2023-03-06 05:00:00,AMZN,SELL,95.19000244140624,5.0,78170.05416510873
2023-03-07 05:00:00,ALLE,SELL,110.28275220342732,5.0,78721.46792612586
2023-03-08 05:00:00,ADSK,SELL,205.83999633789065,5.0,79750.66790781531
2023-03-08 05:00:00,AXON,SELL,226.0,10.0,82010.66790781531
2023-03-10 05:00:00,ACN,SELL,249.48914381994092,5.0,83258.11362691502
2023-03-10 05:00:00,AVB,SELL,155.27933373856283,5.0,84034.51029560783
2023-03-10 05:00:00,BAC,SELL,28.354012013639604,5.0,84176.28035567603
2023-03-13 04:00:00,ABBV,SELL,134.76507790819522,5.0,84850.105745217
2023-03-13 04:00:00,AIZ,SELL,109.937093793874,5.0,85399.79121418638
2023-03-13 04:00:00,AMP,SELL,281.7740858718364,10.0,88217.53207290474
2023-03-15 04:00:00,AJG,SELL,173.17623046315072,5.0,89083.41322522049
2023-03-16 04:00:00,ALLE,SELL,99.73569349879271,5.0,89582.09169271446
2023-03-16 04:00:00,AMD,SELL,89.72000122070312,10.0,90479.29170492149
2023-03-17 04:00:00,ANET,SELL,40.63124847412109,10.0,90885.6041896627
2023-03-20 04:00:00,AVY,SELL,160.3951162153339,5.0,91687.57977073936
2023-03-20 04:00:00,AXP,SELL,153.10058337262575,5.0,92453.0826876025
2023-03-24 04:00:00,AVB,SELL,139.1157249457504,5.0,93148.66131233124
2023-03-28 04:00:00,ADBE,BUY,373.4200134277344,10.0,89414.4611780539
2023-03-31 04:00:00,ACGL,BUY,64.56600900930587,10.0,88768.80108796083
2023-04-04 04:00:00,AON,BUY,310.73465473894225,10.0,85661.45454057142
2023-04-04 04:00:00,ACN,BUY,272.7941972839045,10.0,82933.51256773237
2023-04-05 04:00:00,AMGN,BUY,229.46236021491657,10.0,80638.8889655832
2023-04-06 04:00:00,AJG,BUY,191.0923186674473,10.0,78727.96577890874
2023-04-10 04:00:00,AWK,BUY,141.77927470031918,10.0,77310.17303190555
2023-04-10 04:00:00,AEE,BUY,82.53515616660934,10.0,76484.82147023946
2023-04-10 04:00:00,AEP,BUY,85.10007085386943,10.0,75633.82076170077
2023-04-10 04:00:00,BA,BUY,211.0,10.0,73523.82076170077
2023-04-11 04:00:00,AZO,BUY,2553.110107421875,10.0,47992.71968748202
2023-04-12 04:00:00,AMCR,BUY,9.79629030074077,10.0,47894.756784474615
2023-04-13 04:00:00,AOS,SELL,62.73592360640775,5.0,48208.43640250665
2023-04-13 04:00:00,AKAM,BUY,81.4800033569336,10.0,47393.63636893732
2023-04-13 04:00:00,APD,BUY,269.68631719061545,10.0,44696.773197031165
2023-04-13 04:00:00,ADM,BUY,74.4926246408857,10.0,43951.846950622305
2023-04-13 04:00:00,AMT,BUY,193.14798815528812,10.0,42020.36706906943
2023-04-14 04:00:00,ABT,BUY,98.67172623201796,10.0,41033.64980674925
2023-04-14 04:00:00,APA,BUY,36.557235625034416,10.0,40668.07745049891
2023-04-17 04:00:00,AMAT,SELL,106.7721305314748,5.0,41201.93810315628
2023-04-17 04:00:00,AVY,BUY,170.70124338939493,10.0,39494.92566926233
2023-04-17 04:00:00,AES,BUY,21.40954989185104,10.0,39280.83017034382
2023-04-19 04:00:00,AVB,BUY,158.1136450296148,10.0,37699.69372004767
2023-04-21 04:00:00,AFL,BUY,62.88078752305416,10.0,37070.88584481712
