Date,Ticker,Type,Price,Shares,Cash_after
2022-12-21 05:00:00,ADM,BUY,85.35762337078685,585.0,50065.79032808969
2022-12-22 05:00:00,ADM,SELL,86.17246431525359,585.0,100476.68195251304
2022-12-27 05:00:00,ADM,BUY,86.96901248408072,577.0,50295.56174919847
2022-12-29 05:00:00,ADM,SELL,85.95274787952948,577.0,99890.29727568699
2023-01-05 05:00:00,AVY,BUY,175.34812636015792,284.0,50091.42938940214
2023-01-09 05:00:00,AOS,BUY,58.277025795948525,429.0,25090.585322940224
2023-01-12 05:00:00,AIZ,BUY,121.17070738559204,103.0,12610.002462224244
2023-01-12 05:00:00,ALLE,BUY,110.02290341211648,57.0,6338.696967733605
2023-01-13 05:00:00,APH,BUY,39.19771003853056,80.0,3202.88016465116
2023-01-17 05:00:00,AXP,BUY,150.36472763244245,10.0,1699.2328883267355
2023-01-17 05:00:00,AMP,BUY,319.5186574461792,2.0,1060.1955734343771
2023-01-17 05:00:00,AXON,BUY,188.30999755859372,2.0,683.5755783171896
2023-01-17 05:00:00,AMAT,BUY,106.70796966552734,3.0,363.4516693206076
2023-01-19 05:00:00,AMZN,BUY,94.73999786376952,1.0,268.7116714568381
2023-01-20 05:00:00,APTV,BUY,101.51000213623048,1.0,167.2016693206076
2023-01-24 05:00:00,AMD,BUY,73.75,1.0,93.4516693206076
2023-01-30 05:00:00,BAC,BUY,32.71476353019521,1.0,60.73690579041239
2023-02-08 05:00:00,AVY,SELL,173.5677097741771,284.0,49353.96648165671
2023-02-09 05:00:00,ALL,BUY,128.79628362337525,191.0,24753.876309592037
2023-02-15 05:00:00,APTV,SELL,122.08999633789062,1.0,24875.966305929927
2023-02-24 05:00:00,ABBV,BUY,136.8453239396635,90.0,12559.887151360212
2023-03-02 05:00:00,APH,SELL,37.787159941450575,80.0,15582.859946676257
2023-03-03 05:00:00,ALL,SELL,119.19572297058382,191.0,38349.24303405777
2023-03-03 05:00:00,BAC,SELL,31.46809695048795,1.0,38380.711131008255
2023-03-06 05:00:00,AIZ,SELL,121.71125774609924,103.0,50916.97067885648
2023-03-06 05:00:00,AMZN,SELL,95.19000244140624,1.0,51012.160681297886
2023-03-07 05:00:00,ALLE,SELL,110.28275220342732,57.0,57298.27755689324
2023-03-08 05:00:00,AXON,SELL,226.0,2.0,57750.27755689324
2023-03-13 04:00:00,ABBV,SELL,134.76507790819522,90.0,69879.1345686308
2023-03-13 04:00:00,AMP,SELL,281.7740858718364,2.0,70442.68274037448
2023-03-16 04:00:00,AMD,SELL,89.72000122070312,1.0,70532.40274159519
2023-03-20 04:00:00,AXP,SELL,153.10058337262575,10.0,72063.40857532145
2023-03-24 04:00:00,ABBV,BUY,140.4451046476668,256.0,36109.461785518746
2023-03-27 04:00:00,AMZN,BUY,99.06999969482422,182.0,18078.72184106074
2023-03-28 04:00:00,ADBE,BUY,373.4200134277344,24.0,9116.641518795113
2023-03-31 04:00:00,ACGL,BUY,64.56600900930587,70.0,4597.020888143702
2023-04-03 04:00:00,APH,BUY,39.72611122241084,57.0,2332.632548466284
2023-04-04 04:00:00,AON,BUY,310.73465473894225,3.0,1400.4285842494571
2023-04-04 04:00:00,ACN,BUY,272.7941972839045,2.0,854.8401896816481
2023-04-06 04:00:00,AJG,BUY,191.0923186674473,2.0,472.6555523467535
2023-04-10 04:00:00,AWK,BUY,141.77927470031918,1.0,330.87627764643435
2023-04-10 04:00:00,AEE,BUY,82.53515616660934,2.0,165.80596531321567
2023-04-12 04:00:00,AMCR,BUY,9.79629030074077,8.0,87.4356429072895
2023-04-13 04:00:00,AOS,SELL,62.73592360640775,429.0,27001.146870056215
2023-04-13 04:00:00,APD,BUY,269.68631719061545,50.0,13516.831010525442
2023-04-13 04:00:00,ADM,BUY,74.4926246408857,90.0,6812.4947928457295
2023-04-13 04:00:00,ATO,BUY,108.4040008416419,31.0,3451.9707667548305
2023-04-13 04:00:00,AMT,BUY,193.14798815528812,8.0,1906.7868615125255
